Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Phases,Funded Bys,Study Type,Start Date,Completion Date,URL
1,Real World Glycemic Effectiveness of Linagliptin,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Linagliptin,Boehringer Ingelheim|Eli Lilly and Company,Boehringer Ingelheim,Eli Lilly and Company,,,,,,,Industry,Observational,11/21/2017,2/2/2018,https://ClinicalTrials.gov/show/NCT03338803
2,Bioavailability Study of 10 Milligram (mg) and 5 mg Tablets Versus Conventional Tablets of Dolutegravir,Completed,Has Results,HIV Infections,Drug: Conventional dolutegravir 10 mg tablet|Drug: Conventional dolutegravir 50 mg tablet|Drug: Dispersible dolutegravir 5 mg tablet|Drug: Conventional dolutegravir 25 mg tablet,ViiV Healthcare|GlaxoSmithKline,ViiV Healthcare,GlaxoSmithKline,,,,,,Phase 1,Industry,Interventional,5/3/2017,6/23/2017,https://ClinicalTrials.gov/show/NCT03095638
3,Study of SOR007 Ointment for Actinic Keratosis,Completed,Has Results,Actinic Keratosis,Drug: SOR007 (Uncoated Nanoparticulate Paclitaxel) Ointment|Other: SOR007 Ointment Vehicle,"DFB Soria, LLC|US Biotest, Inc.","DFB Soria, LLC","US Biotest, Inc.",,,,,,Phase 2,Industry,Interventional,5/18/2017,3/12/2018,https://ClinicalTrials.gov/show/NCT03083470
4,Bioequivalence Study of Fixed Dose Versus Single Entities of Dolutegravir and Lamivudine,Completed,Has Results,"Infection, Human Immunodeficiency Virus",Drug: Dolutegravir|Drug: Lamivudine|Drug: Dolutegravir + Lamivudine FDC Formulation 1|Drug: Dolutegravir + Lamivudine FDC Formulation 2,ViiV Healthcare|GlaxoSmithKline,ViiV Healthcare,GlaxoSmithKline,,,,,,Phase 1,Industry,Interventional,3/27/2017,8/18/2017,https://ClinicalTrials.gov/show/NCT03078556
5,A Study of Lanabecestat (LY3314814) in Healthy Participants When Taken With Rosuvastatin,Completed,Has Results,Healthy,Drug: Lanabecestat|Drug: Rosuvastatin,Eli Lilly and Company|AstraZeneca,Eli Lilly and Company,AstraZeneca,,,,,,Phase 1,Industry,Interventional,1/12/2017,5/22/2017,https://ClinicalTrials.gov/show/NCT03019549
6,A Study of Single and Multiple Doses of Oral Insulin or Placebo in Subjects With Type 2 Diabetes Mellitus,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: ORMD-0801 (qd)|Drug: ORMD-0801 (bid)|Drug: ORMD-0801 (tid)|Other: Placebo,"Oramed, Ltd.|Integrium","Oramed, Ltd.",Integrium,,,,,,Phase 2,Industry,Interventional,10/16/2019,3/15/2017,https://ClinicalTrials.gov/show/NCT02954601
7,Intra-surgical Evaluation of CATS Tonometer Prism and Abbott Medical Optics Versus Alcon Phacoemulsification Machines,Completed,Has Results,Cataract Surgery,Device: Alcon phacoemulsification equipment|Device: AMO phacoemulsification equipment,"Intuor Technologies, Inc.|Abbott Medical Optics","Intuor Technologies, Inc.",Abbott Medical Optics,,,,,,Not Applicable,Industry,Interventional,9/16/2019,1/17/2019,https://ClinicalTrials.gov/show/NCT02910362
8,Clinical Study for the BONGO Device in the Treatment of Obstructive Sleep Apnea (OSA),Completed,Has Results,Obstructive Sleep Apnea,Device: BONGO DEVICE,InnoMed Healthscience Inc.|RVW Clinical Consulting,InnoMed Healthscience Inc.,RVW Clinical Consulting,,,,,,Not Applicable,Industry,Interventional,9/16/2019,11/30/2017,https://ClinicalTrials.gov/show/NCT02878590
9,"A Multi-Center, Vehicle-Controlled, Parallel-Group Study Evaluating the Safety of AC-170 Ophthalmic Solution",Completed,Has Results,Healthy Subjects,Drug: AC-170 0.24%|Drug: AC-170 Vehicle,"Nicox Ophthalmics, Inc.|ORA, Inc.","Nicox Ophthalmics, Inc.","ORA, Inc.",,,,,,Phase 3,Industry,Interventional,4/16/2019,8/16/2019,https://ClinicalTrials.gov/show/NCT02756624
10,"A Phase IV, Open Label, 4-period Cross-over Study to Investigate a Drug Interaction Between Lamivudine and Sorbitol Oral Solutions in Healthy Volunteers",Completed,Has Results,"Infection, Human Immunodeficiency Virus",Drug: Lamivudine|Drug: Sorbitol,ViiV Healthcare|GlaxoSmithKline,ViiV Healthcare,GlaxoSmithKline,,,,,,Phase 4,Industry,Interventional,1/1/2016,3/11/2016,https://ClinicalTrials.gov/show/NCT02634073
