Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Phases,Funded Bys,Study Type,Results First Posted,URL
1,"A Multi-Center, Vehicle-Controlled, Parallel-Group Study Evaluating the Safety of AC-170 Ophthalmic Solution",Completed,Has Results,Healthy Subjects,Drug: AC-170 0.24%|Drug: AC-170 Vehicle,"Nicox Ophthalmics, Inc.|ORA, Inc.",Phase 3,Industry,Interventional,26-Jul-17,https://ClinicalTrials.gov/show/NCT02756624
2,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV-002,Completed,Has Results,Glabellar Frown Lines,"Biological: Botulinum toxin, Type A|Other: 0.9% sterile, unpreserved saline","Evolus, Inc.|PPD",Phase 3,Industry,Interventional,27-Feb-19,https://ClinicalTrials.gov/show/NCT02334436
3,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV001,Completed,Has Results,Glabellar Frown Lines,"Biological: Botulinum toxin, Type A|Other: 0.9% sterile, unpreserved saline","Evolus, Inc.|PPD",Phase 3,Industry,Interventional,26-Feb-19,https://ClinicalTrials.gov/show/NCT02334423
4,Monotherapy Brexpiprazole (OPC-34712) Trial in the Treatment of Adults With Schizophrenia With Impulsivity,Completed,Has Results,Schizophrenia With Impulsivity,Drug: Brexpiprazole,"Otsuka Pharmaceutical Development & Commercialization, Inc.|Otsuka Pharmaceutical Co., Ltd.",Phase 3,Industry,Interventional,11-Sep-18,https://ClinicalTrials.gov/show/NCT02194933
5,Non-Inferiority Study Comparing 3 Weekly Injections of SUPARTZ® vs 3 Weekly Injections of Euflexxa® for Knee OA,Completed,Has Results,Osteoarthritis,Device: Supartz|Device: Euflexxa,Bioventus LLC|Seikagaku Corporation,Phase 3,Industry,Interventional,23-Jun-16,https://ClinicalTrials.gov/show/NCT02110238
6,Demonstrate Noninferiority in Efficacy and to Assess Safety of CT-P13 in Patients With Active Crohn's Disease,Completed,Has Results,Crohn's Disease,Biological: CT-P13|Biological: Remicade,Celltrion|Pfizer,Phase 3,Industry,Interventional,11-Apr-18,https://ClinicalTrials.gov/show/NCT02096861
7,Aripiprazole Once-monthly in Patients With Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Aripiprazole once-monthly,"H. Lundbeck A/S|Otsuka Pharmaceutical Co., Ltd.",Phase 3,Industry,Interventional,16-May-16,https://ClinicalTrials.gov/show/NCT01959035
8,Brexpiprazole in Patients With Acute Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Placebo|Drug: Brexpiprazole|Drug: Quetiapine extended release,"H. Lundbeck A/S|Otsuka Pharmaceutical Co., Ltd.",Phase 3,Industry,Interventional,29-Mar-16,https://ClinicalTrials.gov/show/NCT01810380
9,PET Imaging of Brain Amyloid in Normal Pressure Hydrocephalus,Completed,Has Results,Normal Pressure Hydrocephalus,Drug: [18F] Flutemetamol,GE Healthcare|i3 Statprobe,Phase 3,Industry,Interventional,5-Jun-12,https://ClinicalTrials.gov/show/NCT01053312
10,Safety and Efficacy of LCP-Tacro™ Once Daily in Stable Renal Transplant Patients Converted From Prograf® Twice Daily,Completed,Has Results,Renal Failure,Drug: LCP-Tacro|Drug: Prograf,Veloxis Pharmaceuticals|PPD,Phase 3,Industry,Interventional,10-Sep-15,https://ClinicalTrials.gov/show/NCT00817206
11,Open-Label Study of the Long Term Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis (IPF),Completed,Has Results,Idiopathic Pulmonary Fibrosis,Drug: pirfenidone,"Genentech, Inc.|Hoffmann-La Roche",Phase 3,Industry,Interventional,29-Mar-17,https://ClinicalTrials.gov/show/NCT00662038
12,Phase 3 Study of MAP0004 in Adult Migraineurs,Completed,Has Results,Migraine Disorders,Drug: MAP0004|Drug: Placebo,"Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan",Phase 3,Industry,Interventional,29-Oct-13,https://ClinicalTrials.gov/show/NCT00623636
13,Open-Label Extension Study of 23 mg Donepezil SR in Patients With Moderate to Severe Alzheimer's Disease,Completed,Has Results,Alzheimer's Disease,Drug: 23 mg SR in Study 326|Drug: 10 mg IR in Study 326,Eisai Inc.|Eisai Limited,Phase 3,Industry,Interventional,19-Jun-12,https://ClinicalTrials.gov/show/NCT00566501
14,Comparison of 23 mg Donepezil Sustained Release (SR) to 10 mg Donepezil Immediate Release (IR) in Patients With Moderate to Severe Alzheimer's Disease,Completed,Has Results,Alzheimer's Disease,Drug: Aricept (donepezil SR 23 mg)|Drug: Aricept (donepezil IR 10 mg),Eisai Inc.|Eisai Limited,Phase 3,Industry,Interventional,5-Feb-13,https://ClinicalTrials.gov/show/NCT00478205
15,Enfuvirtide/Current Protease Inhibitor Switch to PREZISTA (Darunavir)/Ritonavir + TMC125 in HIV Patients With Enfuvirtide Side Effects.,Completed,Has Results,HIV,"Drug: TMC125, Darunavir; Ritonavir","Tibotec, Inc|Tibotec Therapeutics, a Division of Ortho Biotech Products, L.P., USA",Phase 3,Industry,Interventional,10-Nov-09,https://ClinicalTrials.gov/show/NCT00460746
16,RNF and Betaseron® Tolerability Study,Completed,Has Results,Relapsing Remitting Multiple Sclerosis (RRMS),Drug: New Formulation of rebif - human interferon beta-1a|Drug: Interferon beta -1b,EMD Serono|Pfizer,Phase 3,Industry,Interventional,4-Mar-10,https://ClinicalTrials.gov/show/NCT00428584
17,Positron Emission Tomography (PET) Amyloid Imaging of the Brain in Healthy Young Adult Subjects,Completed,Has Results,Healthy,Drug: [18F] Flutemetamol,"GE Healthcare|i3 Statprobe|Medpace, Inc.",Phase 3,Industry,Interventional,21-Jun-13,https://ClinicalTrials.gov/show/NCT01265394
18,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Completed,Has Results,Post-operative Pain,Drug: Ibuprofen/acetaminophen|Drug: Ibuprofen/acetaminophen (higher dose)|Drug: Nurofen Plus®|Drug: Panadeine® Extra|Drug: Placebo,Reckitt Benckiser LLC|Premier Research Group plc|Aptuit Inc.,Phase 3,Industry,Interventional,17-Sep-18,https://ClinicalTrials.gov/show/NCT01229449
19,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Completed,Has Results,Macular Degeneration|Choroidal Neovascularization,Drug: Verteporfin photodynamic therapy|Drug: Pegaptanib|Drug: Triamcinolone acetonide,Novartis Pharmaceuticals|QLT Inc.|Novartis,Phase 3,Industry,Interventional,2-May-11,https://ClinicalTrials.gov/show/NCT00242580
20,Positron Emission Tomography (PET) Imaging of Brain Amyloid Compared to Post-Mortem Levels,Completed,Has Results,Brain Fibrillarab Levels,Drug: [18F] Flutemetamol,GE Healthcare|i3 Statprobe|Covance,Phase 3,Industry,Interventional,4-Dec-13,https://ClinicalTrials.gov/show/NCT01165554
21,Rebif New Formulation (RNF) in Relapsing Forms of Multiple Sclerosis,Completed,Has Results,Multiple Sclerosis,Biological: Interferon-beta-1a FBS-free/HSA-free,EMD Serono|Pfizer,Phase 3,Industry,Interventional,9-Jul-10,https://ClinicalTrials.gov/show/NCT00110396
22,A Comparison of Prasugrel (CS-747) and Clopidogrel in Acute Coronary Syndrome Subjects Who Are to Undergo Percutaneous Coronary Intervention,Completed,Has Results,Coronary Arteriosclerosis|Acute Coronary Syndromes,Drug: Prasugrel|Drug: Clopidogrel,"Eli Lilly and Company|Daiichi Sankyo, Inc.",Phase 3,Industry,Interventional,16-Sep-10,https://ClinicalTrials.gov/show/NCT00097591
23,"IDA-01 A Randomised, Open-Label, Comparative Study of Intravenous Iron Isomaltoside 1000 (Monofer®) and Iron Sucrose",Completed,Has Results,Iron Deficiency Anaemia,Drug: iron isomaltoside 1000 (Monofer®)|Drug: iron sucrose (Venofer®),"Pharmacosmos A/S|BioStata|ClinStar, LLC|LabCorp",Phase 3,Industry|Other,Interventional,22-May-18,https://ClinicalTrials.gov/show/NCT02130063
24,Aripiprazole Once-monthly Versus Paliperidone Palmitate in Adult Patients With Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Aripiprazole and aripiprazole once-monthly|Drug: Paliperidone and paliperidone palmitate,"H. Lundbeck A/S|Otsuka Pharmaceutical Co., Ltd.",Phase 3,Industry,Interventional,3-Dec-15,https://ClinicalTrials.gov/show/NCT01795547
25,Ibuprofen Extended-Release Dental Pain Study,Completed,Has Results,Pain|Post-Operative Pain|Third Molar Extraction,Drug: Ibuprofen 600 mg Extended-Release Tablets|Drug: Placebo,"SCOLR Pharma, Inc.|AAIPharma|Jean Brown Research",Phase 3,Industry|Other,Interventional,23-Mar-11,https://ClinicalTrials.gov/show/NCT00707057
26,The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study,Completed,Has Results,"Macular Edema, Cystoid|Retinal Vein Occlusion",Other: Standard Care|Drug: intravitreal triamcinolone injection,"The Emmes Company, LLC|National Eye Institute (NEI)|Allergan",Phase 3,Industry|NIH,Interventional,19-Jan-11,https://ClinicalTrials.gov/show/NCT00105027
27,"Comparison of Intranasal Kovacaine Mist, and Placebo for Anesthetizing Maxillary Teeth in Pediatric Patients",Completed,Has Results,Anesthesia,Drug: Tetracaine HCl 3% and Oxymetazoline HCl 0.05%|Drug: Placebo,"St. Renatus, LLC|Triligent International|Rho, Inc.",Phase 3,Industry,Interventional,30-Aug-17,https://ClinicalTrials.gov/show/NCT01844830
28,A Study Comparing Multiple Doses of VI-0521 With Placebo and Their Single-agent Constituents for Treatment of Obesity in Adults,Completed,Has Results,Obesity,Drug: VI-0521|Drug: topiramate|Drug: phentermine,"VIVUS, Inc.|Medpace, Inc.",Phase 3,Industry,Interventional,3-Sep-12,https://ClinicalTrials.gov/show/NCT00563368
29,Assess the Prognostic Usefulness of Flutemetamol (18F) Injection for Identifying Subjects With Amnestic Mild Cognitive Impairment Who Will Convert to Clinically Probable Alzheimer's Disease,Completed,Has Results,Mild Cognitive Impairment|Alzheimer's Disease,Drug: Flutemetamol (18F) Injection,"GE Healthcare|Medpace, Inc.|i3 Statprobe|i3 Research|Quintiles, Inc.",Phase 3,Industry,Interventional,11-Sep-14,https://ClinicalTrials.gov/show/NCT01028053
30,A Study to Evaluate the Efficacy of Investigational OTC Eye Drops,Completed,Has Results,Ophthalmic Solutions,Drug: F# 13418-148 Eye Drops|Drug: F#13418-158 Eye Drops|Drug: F# PF-004390 Eye Drops,Johnson & Johnson Consumer Inc. (J&JCI)|Johnson & Johnson Consumer and Personal Products Worldwide,Phase 3,Industry,Interventional,8-Aug-18,https://ClinicalTrials.gov/show/NCT03198000
31,OTC Mouthpiece for Snoring,Completed,Has Results,Snoring,Device: Zyppah Anti-snoring Appliance,"Zyppah, Inc.",Phase 3,Industry,Interventional,14-Dec-17,https://ClinicalTrials.gov/show/NCT03128307
32,Revefenacin Peak Inspiratory Flow Rate (PIFR) Study in COPD,Completed,Has Results,"Chronic Obstructive Pulmonary Disease, COPD|Low Peak Inspiratory Flow Rate (PIFR)",Drug: Revefenacin|Combination Product: Spiriva Handihaler®|Drug: Placebo for Revefenacin|Drug: Placebo for Spiriva Handihaler®,Theravance Biopharma,Phase 3,Industry,Interventional,31-Dec-18,https://ClinicalTrials.gov/show/NCT03095456
33,Dyanavel® XR Extended-Release Oral Suspension in the Treatment of Children With ADHD: A Laboratory School Study,Completed,Has Results,Attention Deficit Hyperactivity Disorder,"Drug: amphetamine extended-release oral suspension, 2.5 mg/mL|Drug: Placebo extended-release oral suspension","Tris Pharma, Inc.",Phase 3,Industry,Interventional,9-Jul-19,https://ClinicalTrials.gov/show/NCT03088267
