CTID,Title,Conditions,Study Type,Results First Posted,Company,Intervention
NCT02756624,"A Multi-Center, Vehicle-Controlled, Parallel-Group Study Evaluating the Safety of AC-170 Ophthalmic Solution",Healthy Subjects,Interventional,26-Jul-17,"Nicox Ophthalmics, Inc.",Drug: AC-170 0.24%
NCT02756624,"A Multi-Center, Vehicle-Controlled, Parallel-Group Study Evaluating the Safety of AC-170 Ophthalmic Solution",Healthy Subjects,Interventional,26-Jul-17,"Nicox Ophthalmics, Inc.",Drug: AC-170 Vehicle
NCT02756624,"A Multi-Center, Vehicle-Controlled, Parallel-Group Study Evaluating the Safety of AC-170 Ophthalmic Solution",Healthy Subjects,Interventional,26-Jul-17,"ORA, Inc.",Drug: AC-170 0.24%
NCT02756624,"A Multi-Center, Vehicle-Controlled, Parallel-Group Study Evaluating the Safety of AC-170 Ophthalmic Solution",Healthy Subjects,Interventional,26-Jul-17,"ORA, Inc.",Drug: AC-170 Vehicle
NCT02334436,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV-002,Glabellar Frown Lines,Interventional,27-Feb-19,"Evolus, Inc.","Biological: Botulinum toxin, Type A"
NCT02334436,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV-002,Glabellar Frown Lines,Interventional,27-Feb-19,"Evolus, Inc.","Other: 0.9% sterile, unpreserved saline"
NCT02334436,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV-002,Glabellar Frown Lines,Interventional,27-Feb-19,PPD,"Biological: Botulinum toxin, Type A"
NCT02334436,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV-002,Glabellar Frown Lines,Interventional,27-Feb-19,PPD,"Other: 0.9% sterile, unpreserved saline"
NCT02334423,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV001,Glabellar Frown Lines,Interventional,26-Feb-19,"Evolus, Inc.","Biological: Botulinum toxin, Type A"
NCT02334423,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV001,Glabellar Frown Lines,Interventional,26-Feb-19,"Evolus, Inc.","Other: 0.9% sterile, unpreserved saline"
NCT02334423,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV001,Glabellar Frown Lines,Interventional,26-Feb-19,PPD,"Biological: Botulinum toxin, Type A"
NCT02334423,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV001,Glabellar Frown Lines,Interventional,26-Feb-19,PPD,"Other: 0.9% sterile, unpreserved saline"
