CTID,Title,Conditions,Results First Posted,Ticker
NCT00707057,Ibuprofen Extended-Release Dental Pain Study,Pain|Post-Operative Pain|Third Molar Extraction,3/23/2011,
NCT00491530,"A Year 2, Safety Extension Study of the Combination of ABT-335 and Statin Therapy for Subjects With Mixed Dyslipidemia",Mixed Dyslipidemia,12/7/2009,ABT
NCT00427921,Human Anti-TNF Monoclonal Antibody Adalimumab in Canadian Subjects With Moderate to Severe Crohn's Disease (ACCESS),Crohn's Disease,10/23/2009,ABT
NCT00358917,Study of Lopinavir/Ritonavir Tablets Comparing Once-Daily Versus Twice-Daily Administration When Coadministered With Nucleoside/Nucleotide Reverse Transcriptase Inhibitors in Antiretroviral-Experienced Human Immunodeficiency Virus Type 1 Infected Subjects,Human Immunodeficiency Virus Infections,2/1/2010,ABT
NCT00300482,Evaluate Safety and Efficacy of ABT-335 in Combination With Rosuvastatin Calcium in Subjects With Multiple Abnormal Lipid Levels in the Blood,Dyslipidemia|Coronary Heart Disease|Mixed Dyslipidemia,3/25/2009,ABT
NCT00300469,Evaluate Safety and Efficacy of ABT-335 in Combination With Atorvastatin in Subjects With Multiple Abnormal Lipid Levels in the Blood,Mixed Dyslipidemia|Coronary Heart Disease|Dyslipidemia,3/25/2009,ABT
NCT00300456,Evaluate Safety and Efficacy of ABT-335 in Combination With Simvastatin in Subjects With Multiple Abnormal Lipid Levels in the Blood,Dyslipidemia|Coronary Heart Disease|Mixed Dyslipidemia,3/25/2009,ABT
NCT00300430,"Study to Evaluate the Long-Term Safety and Efficacy of ABT-335, in Combination With Three Different Statins in Subjects With Mixed Dyslipidemia.",Dyslipidemia|Coronary Heart Disease|Mixed Dyslipidemia,7/23/2009,ABT
NCT00234832,A Long Term Study of Sibutramine and the Role of Obesity Management in Relation to Cardiovascular Disease in Overweight and Obese Patients,Obesity,4/15/2010,ABT
NCT01295814,Efficacy Study of Adalimumab to Treat Interstitial Cystitis,Interstitial Cystitis,7/16/2015,ABT
NCT01138475,Trial Of Paricalcitol and Cholecalciferol(Vitamin D3) in the Treatment Of Secondary Hyperparathyroidism in Patients After ROUX-EN-Y Gastric Bypass Surgery,Gastric Bypass|Parathyroid Hormone,3/22/2017,ABT
NCT00413244,The Cardiac Benefit of Testosterone Replacement in Men With Low Testosterone Levels With Coronary Artery Disease After Successful Intervention of the Blockage or Narrowed Heart Artery,Coronary Artery Disease,1/5/2017,ABT
NCT00194116,"Double-blind, Placebo-Controlled Divalproex Sodium ER in Bipolar I or Bipolar II Depression",Bipolar Disorder,7/17/2019,ABT
NCT00194129,Lithium and Divalproex for the Treatment of Comorbid Rapid Cycling Bipolar Disorder and Substance Abuse Disorder,Bipolar Disorder,12/23/2013,ABT
NCT00711009,Study Comparing Lopinavir/Ritonavir (LPV/r) + Emtricitabine/Tenofovir Disoproxil Fumarate (FTC/TDF) With a Nucleoside Sparing Regimen Consisting of Lopinavir/Ritonavir + Raltegravir (RAL),Human Immunodeficiency Virus Infection,2/2/2011,ABT
NCT01070303,"Remission in Subjects With Crohn's Disease, Open Label Extension",Crohn's Disease,5/7/2010,ABT
NCT00647270,"Study Comparing 80 mg of Adalimumab With Placebo, and Demonstrating the Non-inferiority of Monthly 80 mg Adalimumab Dosing Compared With 40 mg Adalimumab Every Other Week Dosing",Rheumatoid Arthritis,5/10/2010,ABT
NCT00660010,Study of Lupron Depot In The Treatment of Central Precocious Puberty,"Puberty, Precocious",7/20/2010,ABT
NCT00639158,Safety and Efficacy Study Comparing ABT-335 Coadministered With Atorvastatin and Ezetimibe to Atorvastatin Coadministered With Ezetimibe in Subjects With Multiple Abnormal Lipid (Fat) Levels in the Blood,Dyslipidemias|Coronary Heart Disease|Combined (Atherogenic) Dyslipidemia|Mixed Dyslipidemia,11/5/2009,ABT
NCT00635817,A Study of Leuprolide 11.25 mg and 30 mg Administered Every 3 Months to Treat Central Precocious Puberty,"Puberty, Precocious",2/9/2011,ABT
NCT00630877,Evaluation of a Flushing ASsessment Tool (FAST) in Subjects Receiving Niacin Extended-release Plus Aspirin,Dyslipidemia,10/9/2009,ABT
NCT00626431,A Study of Leuprolide to Treat Prostate Cancer,Prostate Cancer,11/1/2010,ABT
NCT00626392,Study to Evaluate the EFFECTS of Acetylsalicylic Acid (ASA) on Niaspan®-Induced Flushing in Subjects With Dyslipidemia,Dyslipidemia,8/25/2009,ABT
NCT00566722,Open Label Study of Adalimumab in Subjects Who Have a Sub-optimal Response to Systemic Therapy or Phototherapy,Psoriasis,5/28/2010,ABT
NCT00465088,An Open-Label Study to Compare the Lipid Effects of Niacin ER and Simvastatin (NS) to Atorvastatin in Subjects With Hyperlipidemia or Mixed Dyslipidemia (SUPREME),Hyperlipidemia|Mixed Dyslipidemia,5/13/2009,ABT
NCT00409682,Efficacy and Safety of Adalimumab in Pediatric Subjects With Moderate to Severe Crohn's Disease,Crohn's Disease,8/4/2011,ABT
NCT00408629,Efficacy and Safety of Adalimumab in Subjects With Moderately to Severely Active Ulcerative Colitis,Ulcerative Colitis,3/31/2011,ABT
NCT00385736,Efficacy and Safety of Adalimumab in Subjects With Moderately to Severely Acute Ulcerative Colitis,Ulcerative Colitis,5/27/2010,ABT
NCT00348283,Effects of Adalimumab on Mucosal Healing in Subjects With Crohn's Disease Involving the Colon,Crohn's Disease,2/11/2010,ABT
NCT00262522,"Study of Lopinavir/Ritonavir Tablets Versus Soft Gel Capsules and Once Daily Versus Twice Daily Administration, When Coadministered With Nucleoside Reverse Transcriptase Inhibitors in Antiretroviral Naive Human Immunodeficiency Virus Type 1 Infected Subjects",Human Immunodeficiency Virus Infections,8/20/2009,ABT
NCT00195715,Long-term Safety and Tolerability Study of Adalimumab in Subjects With Crohn's Disease,Crohn's Disease,1/7/2010,ABT
NCT00195702,Efficacy and Safety of Adalimumab in Patients With Active Rheumatoid Arthritis Treated Concomitantly With Methotrexate.,Rheumatoid Arthritis,3/1/2010,ABT
NCT00195676,Efficacy and Safety of Adalimumab in Subjects With Moderate to Severe Chronic Plaque Psoriasis,Psoriasis,11/19/2010,ABT
NCT00195650,Long Term Open Label Continuation Study,Rheumatoid Arthritis,7/31/2012,ABT
NCT00085644,Human Anti-tumor Necrosis Factor (TNF) Monoclonal Antibody Adalimumab in Subjects With Active Ankylosing Spondylitis,Ankylosing Spondylitis,3/11/2010,ABT
NCT00055497,"Remission in Subjects With Crohn's Disease, 1 Year Phase",Crohn's Disease,5/18/2010,ABT
NCT00048542,Study of Human Anti-TNF Monoclonal Antibody Adalimumab in Children With Polyarticular Juvenile Idiopathic Arthritis (JIA),"Arthritis, Juvenile Idiopathic",1/11/2010,ABT
NCT00573313,Effects of SAMe in Patients With Alcoholic Liver Disease,"Liver Disease, Alcoholic",6/10/2013,ABT
NCT00799617,The Testosterone Trials in Older Men,Andropause,8/28/2017,ABT
NCT01608100,Evaluation of a New Cardiac Biomarker Assay,Acute Coronary Syndrome|Acute Myocardial Infarction,3/17/2015,ABT
NCT00933933,Evaluation of Diagnostic HIV Ag/Ab Combo Assay,Human Immunodeficiency Viruses,8/19/2010,ABT
NCT00686205,Evaluation of a Human Immunodeficiency Virus (HIV) Blood Screening Assay,Healthy Donors|HIV Positive,7/5/2010,ABT
NCT01396525,Trial to Evaluate the Safety & Efficacy of the Omnilink Elite™ Peripheral Balloon-Expandable Stent System in Subjects With Atherosclerotic de Novo or Restenotic Lesions in the Native Common Iliac Artery and/or Native External Iliac Artery,Peripheral Vascular Disease,10/1/2012,ABT
NCT00844532,Trial to Evaluate the Safety & Efficacy of the Absolute Pro™ Peripheral Self-Expanding Stent System in Subjects With Atherosclerotic de Novo or Restenotic Lesions in the Native Common Iliac Artery and/or Native External Iliac Artery.,Peripheral Vascular Disease,9/7/2012,ABT
NCT01786993,MultiPoint Pacing IDE Study,Heart Failure,9/30/2016,ABT
NCT01401361,Atrial Flutter Ablation With Contact Therapy Cool Path Ablation System Along With EnSite Velocity Contact System,Typical Atrial Flutter,12/23/2013,ABT
NCT00984204,Clinical Evaluation of Therapy™ Cool Path™ Duo Cardiac Ablation System for the Treatment of Typical Atrial Flutter (AFL),Typical Atrial Flutter,12/20/2013,ABT
NCT00916370,SPIRIT PRIME Clinical Trial,Myocardial Ischemia|Coronary Artery Stenosis|Coronary Disease|Coronary Artery Disease|Coronary Restenosis,6/1/2012,ABT
NCT00307047,SPIRIT IV Clinical Trial: Clinical Evaluation of the XIENCE V® Everolimus Eluting Coronary Stent System,Coronary Artery Disease,10/21/2010,ABT
NCT00180479,SPIRIT III Clinical Trial of the XIENCE V® Everolimus Eluting Coronary Stent System (EECSS),Stents|Coronary Artery Disease|Total Coronary Occlusion|Coronary Artery Restenosis|Stent Thrombosis|Vascular Disease|Myocardial Ischemia|Coronary Artery Stenosis,12/15/2008,ABT
NCT01663363,Safety and Effectiveness of Wavefront-Guided LASIK Corrections of Myopic Refractive Errors,Myopia,6/26/2015,ABT
NCT01098812,Clinical Evaluation of a 1-Piece Intraocular Lens,Cataract,7/2/2013,ABT
NCT00961051,Evaluation of an Investigational Multi-Purpose Solution (MPS),Study Focus is Healthy Contact Lens Wearers,1/7/2014,ABT
NCT00747227,Safety and Efficacy of a Violet Visible Light Blocking Intraocular Lens (IOL),Cataract,11/11/2011,ABT
NCT01064401,Efficacy and Safety of BIIB019 (Daclizumab High Yield Process) Versus Interferon β 1a in Participants With Relapsing-Remitting Multiple Sclerosis,Relapsing-Remitting Multiple Sclerosis,7/11/2016,ABBV
NCT00660387,"Study of Efficacy, Safety and Tolerability of Levodopa-Carbidopa Intestinal Gel in Levodopa-Responsive Parkinson's Subjects",Advanced Parkinson's Disease,1/16/2015,ABBV
NCT00360568,Safety/Efficacy Study of Levodopa-Carbidopa Intestinal Gel in Parkinson's Subjects,Dyskinesias|Parkinson's Disease|Severe Motor Fluctuations,1/16/2015,ABBV
NCT00335153,Levodopa-Carbidopa Intestinal Gel Open-Label Study in Advanced Parkinson's Disease,Advanced Parkinson's Disease,1/16/2015,ABBV
NCT00357994,"Study of Efficacy, Safety and Tolerability of Levodopa-Carbidopa Intestinal Gel in Levodopa-Responsive Parkinson's Subjects",Advanced Parkinson's Disease,1/16/2015,ABBV
NCT03069365,A Study to Evaluate the Efficacy and Safety of Glecaprevir/Pibrentasvir in Adults With Chronic Hepatitis C Virus Genotype 1 - 6 Infection and Renal Impairment,Hepatitis C Virus (HCV),3/4/2019,ABBV
NCT02966795,A Study of of Glecaprevir/Pibrentasvir in Adults With Chronic Hepatitis C Virus (HCV) Genotype 5 or 6 Infection,Hepatitis C Virus (HCV),7/10/2019,ABBV
NCT01185301,Study to Determine the Effects of Different Doses of Methotrexate (MTX) When Taken With Adalimumab in Subjects With Early Rheumatoid Arthritis (RA),Early Rheumatoid Arthritis,11/15/2013,ABBV
NCT00939003,Study of Adalimumab in Patients With Axial Spondyloarthritis,Axial Spondyloarthritis,3/6/2012,ABBV
NCT00763321,Study to Evaluate the Safety and Efficacy of ABT-712 in Subjects With Moderate to Severe Chronic Low Back Pain (CLBP),Chronic Low Back Pain,12/23/2013,ABBV
NCT00761150,Study to Evaluate the Safety and Efficacy of ABT-712 in Subjects With Moderate to Severe Chronic Low Back Pain (CLBP),Chronic Low Back Pain,12/23/2013,ABBV
NCT00667446,Safety Extension Study Of Leuprolide Acetate (Lupron Depot) In The Treatment Of Central Precocious Puberty,Precocious|Leuprolide Acetate|Luteinizing Hormone (LH)|Gonadotrophin-releasing Hormone Agonist (GnRHa)|Tanner Staging|Depot Formulation|Suppression of LH|Central Precocious Puberty (CPP)|Gonadotrophin-releasing Hormone (GnRH)|Lupron|GnRH Analog|Pediatrics Central Precocious Puberty,12/10/2013,ABBV
NCT00616772,"Safety and Efficacy Study Using ABT-335 (Investigational Drug) in Combination With Atorvastatin, to Study the Effects on Thickening of the Blood Vessel Wall in Patients With Abnormal Lipid (Fat) Levels in the Blood",Coronary Artery Disease|Coronary Heart Disease|Dyslipidemia,1/20/2014,ABBV
NCT00497146,The PRIMO Study: Paricalcitol Capsules Benefits Renal Failure Induced Cardiac Morbidity in Subjects With Chronic Kidney Disease Stage 3/4,Chronic Kidney Disease|Left Ventricular Hypertrophy,12/23/2011,ABBV
NCT00195663,Efficacy and Safety of Adalimumab and Methotrexate (MTX) Versus MTX Monotherapy in Subjects With Early Rheumatoid Arthritis,Early Rheumatoid Arthritis,2/25/2010,ABBV
NCT02553317,Phase III Trial With Caplacizumab in Patients With Acquired Thrombotic Thrombocytopenic Purpura,Acquired Thrombotic Thrombocytopenic Purpura,5/22/2019,
NCT01991860,US Phase III Study of APD421 in PONV,PONV,9/6/2018,
NCT02449291,Study of APD421 as PONV Treatment (no Prior Prophylaxis),Postoperative Nausea and Vomiting,12/18/2018,
NCT02337062,Phase IIIb Study of APD421 in Combination as PONV Prophylaxis,PONV,8/4/2017,
NCT02646566,Study of APD421 as PONV Treatment (Prior Prophylaxis),Postoperative Nausea and Vomiting,12/18/2018,
NCT01174004,A Study of the Safety and Efficacy of Pimavanserin in Patients With Parkinson's Disease Psychosis,Parkinson's Disease Psychosis,3/26/2014,ACHC
NCT00658567,A Study of Safety and Efficacy of Pimavanserin (ACP-103) in Patients With Parkinson's Disease Psychosis,Parkinson's Disease Psychosis,9/9/2014,ACHC
NCT00550238,A Study of the Safety and Tolerability of Pimavanserin (ACP-103) in Patients With Parkinson's Disease Psychosis,Parkinson's Disease Psychosis,6/24/2019,ACHC
NCT00477672,A Study of the Safety and Efficacy of Pimavanserin (ACP-103) in Patients With Parkinson's Disease Psychosis,Parkinson's Disease Psychosis,3/26/2014,ACHC
NCT00198822,Impact of Maternal Vitamin A or Beta-Carotene Supplementation on Maternal and Infant Mortality in Bangladesh,Vitamin A Deficiency|Maternal Mortality|Infant Mortality,10/12/2011,
NCT00791934,Clinical Study of Safety and Efficacy for the Relieva Stratus With Elution of Triamcinolone Acetonide,Sinusitis,7/14/2014,
NCT01202578,Evaluation of the Tympanostomy Tube Delivery System,Otitis Media With Effusion|Acute Otitis Media,7/11/2014,
NCT01660763,Efficacy and Safety Trial to Evaluate the Sufentanil NanoTab® PCA System/15 mcg (Zalviso™) for Post-Operative Pain in Patients After Knee or Hip Replacement Surgery,Post Operative Pain,2/3/2014,ACRX
NCT02662556,"A Multicenter, Open-Label Trial to Evaluate the Safety and Efficacy of the Sufentanil Sublingual Tablet 30 mcg in Patients With Post-Operative Pain",Acute Moderate-to-severe Pain,3/15/2017,ACRX
NCT02447848,Open-Label Safety and Efficacy of the Sufentanil Sublingual Tablet 30 mcg for Acute Pain,Moderate-to-severe Acute Pain,10/19/2017,ACRX
NCT02356588,A Trial Evaluating the Efficacy and Safety of the Sublingual Sufentanil Tablet 30 mcg for Post-Operative Pain After Abdominal Surgery,Post-Operative Pain,2/13/2017,ACRX
