Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,2.0,2.0,2.0,2.0,0.0,2.0
2009-01-05,2.0,2.0,2.0,2.0,0.0,2.0
2009-01-06,2.0,2.0,2.0,2.0,0.0,2.0
2009-01-07,3.125,3.125,3.125,3.125,200.0,3.125
2009-01-08,3.375,3.25,3.25,3.25,9100.0,3.25
2009-01-09,4.25,3.625,3.625,4.25,1800.0,4.25
2009-01-12,4.5,4.5,4.5,4.5,100.0,4.5
2009-01-13,3.75,3.0,3.75,3.0,700.0,3.0
2009-01-14,3.0,3.0,3.0,3.0,0.0,3.0
2009-01-15,4.25,3.5,3.5,3.75,1300.0,3.75
2009-01-16,3.75,3.75,3.75,3.75,0.0,3.75
2009-01-20,3.5,3.5,3.5,3.5,200.0,3.5
2009-01-21,3.5,3.25,3.5,3.5,2000.0,3.5
2009-01-22,5.25,3.5,3.5,4.5,3800.0,4.5
2009-01-23,4.5,3.5,3.5,4.25,4400.0,4.25
2009-01-26,4.5,3.875,4.5,4.25,1800.0,4.25
2009-01-27,4.0,3.75,3.75,4.0,400.0,4.0
2009-01-28,4.25,3.75,3.75,4.25,600.0,4.25
2009-01-29,3.75,3.75,3.75,3.75,300.0,3.75
2009-01-30,3.75,3.75,3.75,3.75,0.0,3.75
2009-02-02,3.75,3.75,3.75,3.75,0.0,3.75
2009-02-03,4.25,4.25,4.25,4.25,100.0,4.25
2009-02-04,3.75,2.5,3.75,3.5,23200.0,3.5
2009-02-05,4.25,3.0,3.5,3.75,3600.0,3.75
2009-02-06,3.5,3.0,3.0,3.5,1100.0,3.5
2009-02-09,3.25,2.75,2.75,3.25,5600.0,3.25
2009-02-10,3.125,2.625,2.75,3.0,6800.0,3.0
2009-02-11,2.75,2.5,2.625,2.75,4200.0,2.75
2009-02-12,2.75,2.75,2.75,2.75,0.0,2.75
2009-02-13,4.5,2.5,2.75,3.75,11000.0,3.75
2009-02-17,3.75,2.5,3.75,2.75,9200.0,2.75
2009-02-18,2.75,2.625,2.75,2.75,2400.0,2.75
2009-02-19,2.75,2.75,2.75,2.75,3200.0,2.75
2009-02-20,3.25,2.5,2.75,3.25,4600.0,3.25
2009-02-23,3.25,3.25,3.25,3.25,0.0,3.25
2009-02-24,2.875,2.625,2.75,2.7249999046325684,4000.0,2.7249999046325684
2009-02-25,2.5,2.5,2.5,2.5,1800.0,2.5
2009-02-26,3.75,2.5,3.75,2.75,3600.0,2.75
2009-02-27,3.5,2.5,2.5,3.5,500.0,3.5
2009-03-02,2.5,2.0,2.5,2.25,3300.0,2.25
2009-03-03,2.875,2.0,2.0,2.875,1200.0,2.875
2009-03-04,2.875,2.875,2.875,2.875,0.0,2.875
2009-03-05,2.5,2.125,2.5,2.125,4500.0,2.125
2009-03-06,3.25,1.875,3.0,3.25,6800.0,3.25
2009-03-09,2.75,2.75,2.75,2.75,200.0,2.75
2009-03-10,3.25,2.0,2.0,3.25,400.0,3.25
2009-03-11,3.25,3.25,3.25,3.25,0.0,3.25
2009-03-12,3.25,3.25,3.25,3.25,0.0,3.25
2009-03-13,3.0,3.0,3.0,3.0,200.0,3.0
2009-03-16,3.0,3.0,3.0,3.0,0.0,3.0
2009-03-17,3.0,2.9749999046325684,3.0,3.0,600.0,3.0
2009-03-18,3.0,3.0,3.0,3.0,200.0,3.0
2009-03-19,3.0,2.5,3.0,3.0,2000.0,3.0
2009-03-20,3.0,2.5,3.0,2.5,3300.0,2.5
2009-03-23,2.5,2.5,2.5,2.5,400.0,2.5
2009-03-24,2.625,2.125,2.125,2.5,300.0,2.5
2009-03-25,2.5,2.5,2.5,2.5,0.0,2.5
2009-03-26,2.5,2.5,2.5,2.5,300.0,2.5
