Date,High,Low,Open,Close,Volume,Adj Close
2009-10-21,693.75,525.0,525.0,693.75,200.0,693.75
2009-10-22,806.25,712.5,712.5,806.25,200.0,806.25
2009-10-23,900.0,806.25,806.25,900.0,300.0,900.0
2009-10-26,881.25,750.0,881.25,750.0,0.0,750.0
2009-10-27,862.5,712.5,750.0,862.5,0.0,862.5
2009-10-28,862.5,862.5,862.5,862.5,0.0,862.5
2009-10-29,862.5,862.5,862.5,862.5,0.0,862.5
2009-10-30,862.5,862.5,862.5,862.5,0.0,862.5
2009-11-02,768.75,768.75,768.75,768.75,0.0,768.75
2009-11-03,843.75,562.5,825.0,600.0,0.0,600.0
2009-11-04,750.0,693.75,750.0,693.75,0.0,693.75
2009-11-05,468.75,468.75,468.75,468.75,0.0,468.75
2009-11-06,468.75,468.75,468.75,468.75,0.0,468.75
2009-11-09,393.75,187.5,378.75,337.5,0.0,337.5
2009-11-10,318.75,281.25,318.75,300.0,0.0,300.0
2009-11-11,300.0,187.5,300.0,300.0,2800.0,300.0
2009-11-12,375.0,187.5,187.5,225.0,500.0,225.0
2009-11-13,375.0,232.5,375.0,232.5,0.0,232.5
2009-11-16,281.25,225.0,225.0,240.0,600.0,240.0
2009-11-17,240.0,225.0,240.0,228.75,200.0,228.75
2009-11-18,240.0,228.75,240.0,240.0,0.0,240.0
2009-11-19,375.0,225.0,232.5,236.25,700.0,236.25
2009-11-20,300.0,262.5,262.5,281.25,0.0,281.25
2009-11-23,337.5,273.75,296.25,337.5,700.0,337.5
2009-11-24,375.0,337.5,337.5,375.0,0.0,375.0
2009-11-25,367.5,341.25,367.5,367.5,0.0,367.5
2009-11-27,468.75,367.5,367.5,450.0,100.0,450.0
2009-11-30,442.5,288.75,442.5,307.5,200.0,307.5
2009-12-01,348.75,318.75,318.75,337.5,0.0,337.5
2009-12-02,356.25,348.75,348.75,356.25,0.0,356.25
2009-12-03,412.5,356.25,363.75,363.75,100.0,363.75
2009-12-04,375.0,337.5,367.5,375.0,100.0,375.0
2009-12-07,412.5,375.0,375.0,393.75,0.0,393.75
2009-12-08,431.25,375.0,412.5,393.75,0.0,393.75
2009-12-09,393.75,386.25,386.25,393.75,0.0,393.75
2009-12-10,468.75,393.75,393.75,468.75,0.0,468.75
2009-12-11,525.0,468.75,468.75,487.5,0.0,487.5
2009-12-14,468.75,465.0,465.0,468.75,0.0,468.75
2009-12-15,450.0,450.0,450.0,450.0,0.0,450.0
2009-12-16,468.75,438.75,450.0,450.0,100.0,450.0
2009-12-17,450.0,450.0,450.0,450.0,0.0,450.0
2009-12-18,457.5,450.0,457.5,450.0,0.0,450.0
2009-12-21,438.75,431.25,438.75,431.25,0.0,431.25
2009-12-22,427.5,375.0,393.75,427.5,0.0,427.5
2009-12-23,431.25,393.75,393.75,431.25,0.0,431.25
2009-12-24,412.5,405.0,412.5,405.0,0.0,405.0
2009-12-28,525.0,450.0,450.0,468.75,100.0,468.75
2009-12-29,468.75,450.0,468.75,450.0,0.0,450.0
