Date,High,Low,Open,Close,Volume,Adj Close
2012-02-06,156.75,152.5,156.75,156.0,4300.0,156.0
2012-02-07,156.25,153.0,156.25,154.0,2600.0,154.0
2012-02-08,155.0,151.25,155.0,153.75,1500.0,153.75
2012-02-09,153.75,150.25,153.0,151.75,2200.0,151.75
2012-02-10,151.25,150.0,150.0,150.0,4800.0,150.0
2012-02-13,154.75,150.25,152.75,151.75,2500.0,151.75
2012-02-14,155.0,152.5,153.75,155.0,1200.0,155.0
2012-02-15,155.0,150.25,150.25,155.0,1100.0,155.0
2012-02-16,168.75,156.25,156.25,159.75,1000.0,159.75
2012-02-17,165.0,158.75,160.75,159.25,2700.0,159.25
2012-02-21,164.75,153.5,153.5,161.75,2200.0,161.75
2012-02-22,174.0,162.5,164.75,173.75,3900.0,173.75
2012-02-23,192.5,171.5,175.0,189.75,1800.0,189.75
2012-02-24,211.25,189.75,191.25,201.75,1600.0,201.75
2012-02-27,201.25,189.75,198.0,200.0,2600.0,200.0
2012-02-28,198.0,186.5,195.0,190.75,1200.0,190.75
2012-02-29,191.25,165.5,187.75,187.5,700.0,187.5
2012-03-01,204.75,180.75,180.75,187.5,1900.0,187.5
2012-03-02,187.5,182.5,182.5,187.5,200.0,187.5
2012-03-05,186.75,177.25,182.5,186.75,400.0,186.75
2012-03-06,187.0,175.0,187.0,177.0,900.0,177.0
2012-03-07,187.0,179.0,179.0,184.75,200.0,184.75
2012-03-08,187.5,180.0,186.0,183.75,1200.0,183.75
2012-03-09,183.75,177.0,183.75,179.0,100.0,179.0
2012-03-12,191.0,179.5,186.5,191.0,1700.0,191.0
2012-03-13,193.75,182.75,189.25,193.75,200.0,193.75
2012-03-14,197.75,176.25,197.5,190.5,800.0,190.5
2012-03-15,212.5,181.0,193.5,188.25,6300.0,188.25
2012-03-16,190.5,180.0,190.0,181.5,1100.0,181.5
2012-03-19,190.0,180.0,184.0,189.25,1500.0,189.25
2012-03-20,193.75,187.5,188.0,190.5,2200.0,190.5
2012-03-21,190.25,183.75,185.75,186.75,200.0,186.75
2012-03-22,187.5,184.75,185.0,187.5,300.0,187.5
2012-03-23,204.75,190.5,190.5,194.5,500.0,194.5
2012-03-26,197.5,185.5,193.75,192.5,600.0,192.5
2012-03-27,192.5,185.0,187.5,190.0,800.0,190.0
2012-03-28,190.25,183.75,188.25,187.5,600.0,187.5
2012-03-29,186.25,175.25,186.25,177.75,500.0,177.75
2012-03-30,199.25,179.75,180.75,188.75,14900.0,188.75
2012-04-02,199.75,176.25,188.25,188.75,1600.0,188.75
2012-04-03,193.0,184.25,187.5,187.5,400.0,187.5
2012-04-04,199.75,177.5,184.75,181.5,400.0,181.5
2012-04-05,185.25,178.0,180.25,181.0,400.0,181.0
2012-04-09,184.5,176.5,178.25,183.25,600.0,183.25
2012-04-10,180.5,170.0,180.5,170.75,500.0,170.75
2012-04-11,179.0,165.25,170.5,174.75,600.0,174.75
2012-04-12,178.25,173.0,176.25,175.75,300.0,175.75
2012-04-13,174.75,171.25,174.25,171.5,100.0,171.5
2012-04-16,174.25,171.0,174.25,171.0,0.0,171.0
2012-04-17,171.25,165.0,171.25,167.75,100.0,167.75
2012-04-18,168.75,165.25,167.75,168.0,100.0,168.0
2012-04-19,188.75,165.0,169.0,172.5,1000.0,172.5
2012-04-20,178.5,167.75,178.5,176.0,200.0,176.0
2012-04-23,173.5,154.75,173.5,159.75,600.0,159.75
2012-04-24,172.5,155.0,158.25,160.25,300.0,160.25
2012-04-25,170.5,165.0,167.0,165.25,1000.0,165.25
2012-04-26,165.5,154.5,165.5,163.0,200.0,163.0
2012-04-27,170.75,154.5,154.5,170.25,100.0,170.25
2012-04-30,181.75,166.25,169.0,175.0,1300.0,175.0
2012-05-01,174.25,156.5,163.75,156.75,300.0,156.75
2012-05-02,166.0,157.75,157.75,166.0,200.0,166.0
2012-05-03,174.0,161.25,166.5,171.75,200.0,171.75
2012-05-04,171.5,160.0,171.5,163.75,200.0,163.75
2012-05-07,172.5,163.0,163.0,169.5,300.0,169.5
2012-05-08,175.0,169.0,172.5,171.25,400.0,171.25
2012-05-09,172.5,161.25,169.0,161.25,100.0,161.25
2012-05-10,177.25,161.25,161.5,161.25,200.0,161.25
2012-05-11,181.25,156.25,161.75,170.0,600.0,170.0
2012-05-14,180.75,158.0,180.75,158.0,100.0,158.0
2012-05-15,169.0,158.0,158.25,159.25,200.0,159.25
2012-05-16,188.5,162.25,162.25,167.5,2200.0,167.5
2012-05-17,174.5,166.0,174.5,167.75,800.0,167.75
2012-05-18,175.0,166.0,166.0,171.75,200.0,171.75
2012-05-21,173.25,169.5,173.25,172.75,100.0,172.75
2012-05-22,172.5,167.75,171.0,168.5,300.0,168.5
2012-05-23,169.5,166.25,166.75,168.0,4600.0,168.0
2012-05-24,175.0,162.75,167.75,170.25,300.0,170.25
2012-05-25,170.75,170.0,170.75,170.0,0.0,170.0
2012-05-29,174.5,158.25,170.75,169.75,200.0,169.75
2012-05-30,187.5,163.25,167.0,175.0,400.0,175.0
2012-05-31,193.75,167.5,175.5,193.75,1300.0,193.75
2012-06-01,190.0,167.5,188.75,184.75,100.0,184.75
2012-06-04,186.0,169.5,181.25,174.75,200.0,174.75
2012-06-05,175.0,170.0,175.0,171.0,100.0,171.0
2012-06-06,174.75,164.0,173.0,170.5,1300.0,170.5
2012-06-07,186.25,170.0,170.75,178.5,700.0,178.5
2012-06-08,177.5,170.75,175.75,176.25,200.0,176.25
2012-06-11,186.25,165.0,165.0,174.25,300.0,174.25
2012-06-12,177.0,175.0,177.0,175.0,100.0,175.0
2012-06-13,186.5,175.0,175.0,182.5,100.0,182.5
2012-06-14,187.0,182.75,184.0,184.0,100.0,184.0
2012-06-15,197.75,175.75,185.0,197.75,700.0,197.75
2012-06-18,212.5,190.25,196.0,208.75,200.0,208.75
2012-06-19,216.25,210.25,212.5,214.75,400.0,214.75
2012-06-20,219.25,188.75,217.75,193.0,400.0,193.0
2012-06-21,209.75,190.75,194.75,200.5,300.0,200.5
2012-06-22,233.0,201.0,201.0,224.25,7600.0,224.25
2012-06-25,239.0,212.75,228.25,212.75,1200.0,212.75
