Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,560.0,560.0,560.0,560.0,0.0,560.0
2009-01-05,560.0,560.0,560.0,560.0,0.0,560.0
2009-01-06,760.0,760.0,760.0,760.0,0.0,760.0
2009-01-07,720.0,720.0,720.0,720.0,0.0,720.0
2009-01-08,720.0,720.0,720.0,720.0,0.0,720.0
2009-01-09,720.0,720.0,720.0,720.0,0.0,720.0
2009-01-12,760.0,760.0,760.0,760.0,0.0,760.0
2009-01-13,760.0,760.0,760.0,760.0,0.0,760.0
2009-01-14,680.0,680.0,680.0,680.0,0.0,680.0
2009-01-15,720.0,720.0,720.0,720.0,0.0,720.0
2009-01-16,720.0,720.0,720.0,720.0,0.0,720.0
2009-01-20,600.0,600.0,600.0,600.0,0.0,600.0
2009-01-21,600.0,600.0,600.0,600.0,0.0,600.0
2009-01-22,600.0,600.0,600.0,600.0,0.0,600.0
2009-01-23,640.0,640.0,640.0,640.0,0.0,640.0
2009-01-26,640.0,640.0,640.0,640.0,0.0,640.0
2009-01-27,560.0,560.0,560.0,560.0,0.0,560.0
2009-01-28,600.0,600.0,600.0,600.0,0.0,600.0
2009-01-29,600.0,600.0,600.0,600.0,0.0,600.0
2009-01-30,560.0,560.0,560.0,560.0,0.0,560.0
2009-02-02,560.0,560.0,560.0,560.0,0.0,560.0
2009-02-03,520.0,520.0,520.0,520.0,0.0,520.0
2009-02-04,520.0,520.0,520.0,520.0,0.0,520.0
2009-02-05,520.0,520.0,520.0,520.0,0.0,520.0
2009-02-06,520.0,520.0,520.0,520.0,0.0,520.0
2009-02-09,520.0,520.0,520.0,520.0,0.0,520.0
2009-02-10,480.0,480.0,480.0,480.0,0.0,480.0
2009-02-11,480.0,480.0,480.0,480.0,0.0,480.0
2009-02-12,480.0,480.0,480.0,480.0,0.0,480.0
2009-02-13,480.0,480.0,480.0,480.0,0.0,480.0
2009-02-17,520.0,520.0,520.0,520.0,0.0,520.0
2009-02-18,520.0,520.0,520.0,520.0,0.0,520.0
2009-02-19,520.0,520.0,520.0,520.0,0.0,520.0
2009-02-20,520.0,520.0,520.0,520.0,0.0,520.0
2009-09-11,248.0,240.0,248.0,240.0,0.0,240.0
2009-10-16,284.0,240.0,284.0,240.0,0.0,240.0
2009-10-20,284.0,240.0,284.0,240.0,0.0,240.0
2009-10-21,252.0,240.0,252.0,240.0,0.0,240.0
2009-12-28,352.0,152.0,352.0,152.0,0.0,152.0
2010-01-06,168.0,108.0,168.0,108.0,0.0,108.0
2010-01-07,168.0,108.0,168.0,108.0,0.0,108.0
2010-01-08,168.0,108.0,168.0,108.0,0.0,108.0
2010-01-15,104.0,88.0,104.0,88.0,0.0,88.0
2010-01-29,124.0,68.0,124.0,68.0,0.0,68.0
2010-02-01,124.0,68.0,124.0,68.0,0.0,68.0
2010-02-02,124.0,124.0,124.0,124.0,0.0,124.0
2010-02-03,124.0,124.0,124.0,124.0,0.0,124.0
2010-02-04,124.0,124.0,124.0,124.0,0.0,124.0
2010-02-05,128.0,72.0,128.0,72.0,0.0,72.0
2010-02-08,128.0,128.0,128.0,128.0,0.0,128.0
2010-02-09,128.0,128.0,128.0,128.0,0.0,128.0
2010-02-10,128.0,128.0,128.0,128.0,0.0,128.0
2010-02-11,128.0,128.0,128.0,128.0,0.0,128.0
2010-02-12,128.0,128.0,128.0,128.0,0.0,128.0
2010-02-16,128.0,128.0,128.0,128.0,0.0,128.0
2010-02-17,88.0,88.0,88.0,88.0,0.0,88.0
2010-02-18,88.0,88.0,88.0,88.0,0.0,88.0
2010-02-19,92.0,88.0,92.0,88.0,0.0,88.0
2010-02-22,88.0,88.0,88.0,88.0,0.0,88.0
2010-02-23,88.0,88.0,88.0,88.0,0.0,88.0
2010-02-24,88.0,88.0,88.0,88.0,0.0,88.0
2010-02-25,92.0,92.0,92.0,92.0,0.0,92.0
2010-02-26,84.0,72.0,84.0,72.0,0.0,72.0
2010-03-01,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-02,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-03,84.0,72.0,84.0,72.0,0.0,72.0
2010-03-04,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-05,84.0,72.0,84.0,72.0,0.0,72.0
2010-03-08,72.0,72.0,72.0,72.0,0.0,72.0
2010-03-09,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-10,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-11,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-12,84.0,68.0,84.0,68.0,0.0,68.0
2010-03-15,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-16,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-17,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-18,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-19,88.0,88.0,88.0,88.0,0.0,88.0
2010-03-22,88.0,88.0,88.0,88.0,0.0,88.0
2010-03-23,92.0,92.0,92.0,92.0,0.0,92.0
2010-03-24,92.0,92.0,92.0,92.0,0.0,92.0
2010-03-25,72.0,72.0,72.0,72.0,0.0,72.0
2010-03-26,88.0,88.0,88.0,88.0,0.0,88.0
2010-03-29,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-30,84.0,84.0,84.0,84.0,0.0,84.0
2010-03-31,68.0,68.0,68.0,68.0,0.0,68.0
2010-04-01,84.0,84.0,84.0,84.0,0.0,84.0
2010-04-06,80.0,68.0,80.0,68.0,0.0,68.0
2010-04-07,80.0,80.0,80.0,80.0,0.0,80.0
2010-04-08,80.0,80.0,80.0,80.0,0.0,80.0
2010-04-09,80.0,80.0,80.0,80.0,0.0,80.0
2010-04-12,80.0,80.0,80.0,80.0,0.0,80.0
2010-04-13,80.0,80.0,80.0,80.0,0.0,80.0
2010-04-14,80.0,80.0,80.0,80.0,0.0,80.0
2010-04-15,76.0,76.0,76.0,76.0,0.0,76.0
2010-04-16,80.0,80.0,80.0,80.0,0.0,80.0
2010-04-19,72.0,72.0,72.0,72.0,0.0,72.0
2010-04-20,72.0,72.0,72.0,72.0,0.0,72.0
2010-04-21,72.0,72.0,72.0,72.0,0.0,72.0
2010-04-22,72.0,72.0,72.0,72.0,0.0,72.0
2010-04-23,72.0,72.0,72.0,72.0,0.0,72.0
2010-04-26,72.0,72.0,72.0,72.0,0.0,72.0
2010-04-27,44.0,44.0,44.0,44.0,0.0,44.0
2010-04-28,48.0,48.0,48.0,48.0,0.0,48.0
2010-04-29,48.0,48.0,48.0,48.0,0.0,48.0
2010-04-30,48.0,44.0,44.0,48.0,0.0,48.0
2010-05-03,48.0,44.0,44.0,48.0,0.0,48.0
2010-05-04,48.0,48.0,48.0,48.0,0.0,48.0
2010-05-05,48.0,48.0,48.0,48.0,0.0,48.0
2010-05-06,48.0,48.0,48.0,48.0,0.0,48.0
